Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
566020,2019-08-29 03:02:57,375767678113375,"fraud_Osinski, Ledner and Leuschke",grocery_pos,274.34,Christopher,Patterson,M,16744 Campbell Wall Apt. 372,Timberville,VA,22853,38.6476,-78.7717,4367,Waste management officer,1962-04-12,a27db88934e6a55016455e7ea13ad9fe,1346209377,38.299072,-78.04261,1,22733.0
149646,2019-03-21 23:05:44,4180192513916047166,"fraud_Zboncak, Rowe and Murazik",shopping_net,991.85,Brian,Ray,M,055 Stephanie Turnpike Suite 559,Walkertown,NC,27051,36.18,-80.1629,7369,TEFL teacher,1927-02-03,e751c7f0c1691e4a39c0c3650cc16a24,1332371144,37.080287,-80.869008,1,24301.0
126076,2019-03-11 00:33:58,30143713661454,fraud_Marks Inc,gas_transport,18.53,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1942-01-06,b4a76d529b8bfca3125d2edbb76d6b79,1331426038,49.597004,-95.798193,1,
647749,2019-10-02 22:54:57,346208242862904,fraud_Gerlach Inc,shopping_net,980.39,Tabitha,Reyes,F,20938 Barbara Viaduct,New York City,NY,10280,40.7105,-74.0163,1577385,"Pharmacist, hospital",1961-05-13,1a2f9e0f1e90a793c2d5c68f0f942a28,1349218497,40.414072,-74.138737,1,7730.0
1255547,2020-06-07 00:21:34,4334230547694630,"fraud_Raynor, Feest and Miller",gas_transport,19.6,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,6ba4fa50d2c01112ceba46f7639e448e,1370564494,43.151239,-111.944629,1,83236.0
570807,2019-08-31 01:54:02,3554818239968984,fraud_Miller-Hauck,grocery_pos,265.68,Cory,Thomas,M,6458 Roberson Alley,Williamsburg,MO,63388,38.8874,-91.7689,710,Glass blower/designer,1970-09-27,3f51c4151e153d215144e5a993f8761b,1346378042,39.070735,-92.265419,1,65202.0
598327,2019-09-10 22:43:01,30427035050508,"fraud_Altenwerth, Cartwright and Koss",shopping_net,1020.35,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,1969-11-20,ac9e30f5fead7022270ca5f0382c2a45,1347316981,42.938638,-83.67281899999999,1,48529.0
276575,2019-05-17 03:10:36,4449530933957323,fraud_Cartwright-Harris,grocery_pos,351.2,Felicia,Mckee,F,84079 Thomas Burgs,Tomales,CA,94971,38.2427,-122.9145,337,Occupational psychologist,1954-07-05,148d75bd1878ad095ed956976b980a0a,1337224236,38.653491,-123.081267,1,95421.0
98134,2019-02-26 23:54:33,3587960728692500,fraud_Ankunding LLC,shopping_net,1131.0,Kathy,Hughes,F,02110 Lucas Freeway Suite 517,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",1997-01-02,1d676d71a6993fb57770c74fe8f3b946,1330300473,43.273884,-96.177699,1,51235.0
1070961,2020-03-20 23:56:16,3577596616955856,fraud_Fisher Inc,shopping_net,959.75,David,Rogers,M,265 Mullen Park Apt. 307,Summerfield,NC,27358,36.2245,-79.8901,14075,"Buyer, industrial",1929-04-22,6be86b6c844c42eaa71fd2870d620d80,1363823776,36.033696,-79.191755,1,27243.0
